,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_date,wait_min,cleanliness,safety,satisfaction
73,2042,Friday,BRITISH AIRWAYS,LONDON HEATHROW,Europe,Hub,Gates 1-12,2018-12-31,180,Somewhat clean,Very safe,Somewhat satsified
74,3062,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,2018-01-01,215,Clean,Somewhat safe,Somewhat satsified
75,2026,Friday,BRITISH AIRWAYS,LONDON HEATHROW,Europe,Hub,Gates 1-12,2018-12-31,120,Somewhat clean,Somewhat safe,Somewhat satsified
76,1793,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,2018-12-31,150,Clean,Somewhat safe,Somewhat satsified
77,1366,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,2018-12-31,170,Clean,Very safe,Somewhat satsified
78,1017,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,110,Somewhat clean,Very safe,Somewhat satsified
79,2501,Friday,ALASKA,SALT LAKE CITY,West US,    Medium,Gates 1-12,2018-12-31,120,Somewhat clean,Neutral,Somewhat satsified
80,3202,Sunday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-01-01,210,Clean,Neutral,Somewhat satsified
81,1747,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,205,Clean,Very safe,Very satisfied
82,1954,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,245,Clean,Very safe,Very satisfied
83,643,Thursday,ALASKA,NEW ORLEANS,Midwest US,Medium,Gates 50-59,2018-12-31,160,Somewhat clean,Neutral,Somewhat satsified
84,2258,Wednesday,WOW,REYKJAVIK,Europe,Small,Gates 91-102,2018-12-31,355,Somewhat clean,Somewhat safe,Somewhat satsified
85,2334,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,155,Clean,Very safe,Very satisfied
86,1887,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,2018-12-31,85,Somewhat clean,Neutral,Neutral
87,363,Friday,LUFTHANSA,FRANKFURT,Europe,Hub,Gates 91-102,2018-12-31,180,Somewhat clean,Somewhat safe,Somewhat satsified
88,2443,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,177,Clean,Very safe,Somewhat satsified
89,2321,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,130,Somewhat clean,Somewhat safe,Somewhat satsified
90,1593,Thursday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,50,Clean,Very safe,Very satisfied
91,716,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,270,Clean,Very safe,Very satisfied
92,2320,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,2018-12-31,150,Somewhat clean,Somewhat safe,Somewhat satsified
93,2038,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,2018-12-31,150,Average,Somewhat safe,Neutral
94,550,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,245,Somewhat clean,Somewhat safe,Somewhat satsified
95,746,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,120,Clean,Very safe,Very satisfied
96,2739,Friday,UNITED,KAHULUI,West US,Small,Gates 60-69,2018-12-31,32,Somewhat clean,Very safe,Somewhat satsified
97,1984,Friday,AIR FRANCE/KLM,AMSTERDAM,eur,    Hub,Gates 1-12,2018-12-31,115,Average,Neutral,Somewhat unsatisfied
98,2566,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,103,Clean,Very safe,Somewhat satsified
99,2200,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,2018-12-31,180,Somewhat clean,Somewhat safe,Somewhat satsified
100,340,Wednesday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,2018-12-31,240,Somewhat clean,Somewhat safe,Somewhat satsified
101,1252,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,2018-12-31,120,Somewhat clean,Somewhat safe,Very satisfied
102,1946,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,305,Clean,Very safe,Neutral
103,2627,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,75,Clean,Very safe,Very satisfied
104,1563,Wednesday,DELTA,ATLANTA,East US,Hub,Gates 40-48,2018-12-31,135,Somewhat clean,Somewhat safe,Neutral
105,752,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,235,Somewhat clean,Somewhat safe,Neutral
106,3135,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,2018-12-31,70,Somewhat clean,Very safe,Somewhat satsified
107,1123,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,90,Somewhat clean,Very safe,Somewhat satsified
108,2220,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,2018-12-31,95,Somewhat clean,Very safe,Very satisfied
109,3065,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,2018-12-31,112,Average,Neutral,Neutral
110,3052,Tuesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,2018-12-31,125,Clean,Somewhat safe,Somewhat satsified
111,2847,Tuesday,UNITED,SEATTLE,West US,Hub,Gates 70-90,2018-12-31,142,Average,Very safe,Somewhat satsified
112,884,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,2018-12-31,85,Clean,Very safe,Very satisfied
113,2054,Friday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,150,Clean,Very safe,Very satisfied
114,1571,Wednesday,DELTA,DETROIT,Midwest US,Large,Gates 40-48,2018-12-31,155,Somewhat clean,Very safe,Neutral
115,747,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,120,Somewhat clean,Very safe,Very satisfied
116,1799,Sunday,ALASKA,RALEIGH-DURHAM,EAST US,    Medium,Gates 50-59,2018-12-31,265,Somewhat clean,Neutral,Somewhat satsified
117,2281,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,    Hub,Gates 1-12,2018-12-31,225,Average,Neutral,Somewhat unsatisfied
118,2711,Friday,UNITED,SANTA BARBARA,West US,Small,Gates 70-90,2018-12-31,122,Somewhat clean,Somewhat safe,Somewhat satsified
119,917,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,90,Somewhat clean,Somewhat safe,Neutral
120,2091,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,2018-12-31,97,Somewhat clean,Somewhat safe,Somewhat satsified
121,265,Friday,AIR CANADA,TORONTO,Canada/Mexico,    Hub,Gates 91-102,2018-12-31,415,Average,Neutral,Neutral
122,2387,Wednesday,UNITED INTL,BEIJING,Asia,Hub,Gates 91-102,2018-12-31,135,Somewhat clean,Neutral,Neutral
123,3254,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,2018-12-31,150,Somewhat clean,Very safe,Somewhat satsified
124,772,Thursday,UNITED INTL,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 91-102,2018-12-31,90,Somewhat clean,Very safe,Very satisfied
125,465,Sunday,UNITED,DENVER,West US,Hub,Gates 70-90,2018-12-31,131,Don't know,Somewhat safe,Somewhat satsified
126,374,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,2018-12-31,105,Somewhat clean,Neutral,Somewhat satsified
127,367,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,2018-12-31,135,Somewhat clean,Very safe,Somewhat satsified
128,2113,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,514,Average,Somewhat safe,Somewhat satsified
129,1970,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,185,Clean,Very safe,Somewhat satsified
130,1012,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,185,Clean,Very safe,Somewhat satsified
131,1739,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,75,Somewhat clean,Somewhat safe,Very satisfied
132,2004,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,170,Somewhat clean,Somewhat safe,Very satisfied
133,2016,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,98,Clean,Very safe,Somewhat satsified
134,2262,Saturday,UNITED,BAKERSFIELD,West US,    Small,Gates 70-90,2018-12-31,166,Somewhat dirty,Very safe,Somewhat unsatisfied
135,2482,Friday,ALASKA,SALT LAKE CITY,West US,    Medium,Gates 1-12,2018-12-31,90,Somewhat clean,Neutral,Somewhat unsatisfied
136,2969,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,2018-12-31,65,Clean,Very safe,Very satisfied
137,2575,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,90,Clean,Somewhat safe,Very satisfied
138,637,Thursday,ALASKA,NEW ORLEANS,Midwest US,Medium,Gates 50-59,2018-12-31,110,Clean,Very safe,Very satisfied
139,2497,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,139,foolish,Somewhat safe,Somewhat satsified
140,1724,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,150,Clean,Very safe,Very satisfied
141,805,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,160,Somewhat clean,Very safe,Neutral
142,3169,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,60,Average,Very safe,Somewhat satsified
143,1090,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub     ,Gates 40-48,2018-12-31,105,Somewhat clean,Very safe,Somewhat satsified
144,270,Thursday,UNITED,LOS ANGELES,West US,    Hub,Gates 70-90,2018-12-31,130,Clean,Very safe,Very satisfied
145,569,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,2018-12-31,105,Somewhat clean,Somewhat safe,Somewhat satsified
146,2319,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,    Hub,Gates 1-12,2018-12-31,220,Average,Very safe,Somewhat unsatisfied
147,3223,Thursday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,60,Clean,Very safe,Very satisfied
148,2922,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,2018-12-31,105,Somewhat clean,Somewhat safe,Somewhat satsified
149,13,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,90,Average,Somewhat safe,Somewhat satsified
150,1719,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,2018-12-31,510,Average,Somewhat safe,Neutral
151,3186,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,53,Average,Somewhat safe,Somewhat satsified
152,2157,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,2018-12-31,153,Clean,Very safe,Very satisfied
153,1103,Tuesday,SOUTHWEST,SAN DIEGO,West US,    Medium,Gates 20-39,2018-12-31,120,Clean,Very safe,Very satisfied
154,2053,Friday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,90,Average,Somewhat safe,Neutral
155,2353,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,2018-12-31,150,Clean,Very safe,Somewhat satsified
156,3048,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,2018-01-01,215,Somewhat clean,Very safe,Somewhat satsified
157,2143,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,2018-12-31,123,Clean,Very safe,Somewhat satsified
158,1113,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,120,Clean,Very safe,Very satisfied
159,1303,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,2018-12-31,140,Clean,Very safe,Neutral
160,1261,Thursday,CHINA EASTERN,SHANGHAI,Asia,Hub,Gates 1-12,2018-12-31,195,Clean,Very safe,Somewhat satsified
161,9004,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,335,Clean,Very safe,Very satisfied
162,1913,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,215,Clean,Very safe,Somewhat satsified
163,3035,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,216,Somewhat clean,Somewhat safe,Somewhat satsified
164,1542,Thursday,DELTA,NEW YORK-JFK,East US,Hub,Gates 40-48,2018-12-31,105,Somewhat clean,Very safe,Somewhat satsified
165,2352,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,155,Clean,Very safe,Somewhat satsified
166,801,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,2018-12-31,155,Clean,Very safe,Very satisfied
167,529,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,240,Somewhat dirty,Somewhat safe,Neutral
168,3107,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,2018-12-31,247,Clean,Very safe,Very satisfied
169,1785,Saturday,UNITED,RALEIGH-DURHAM,EAST US,    Medium,Gates 70-90,2018-12-31,130,Average,Neutral,Neutral
170,202,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,85,Somewhat clean,Somewhat safe,Somewhat satsified
171,883,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,2018-12-31,145,Average,Very safe,Neutral
172,3142,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,2018-12-31,45,Somewhat clean,Very safe,Somewhat satsified
173,3157,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,2018-12-31,135,Somewhat clean,Very safe,Neutral
174,1894,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,235,Somewhat clean,Very safe,Somewhat satsified
175,458,Sunday,UNITED,DALLAS-FT. WORTH,Midwest US,Hub,Gates 60-69,2018-12-31,250,Somewhat clean,Somewhat safe,Very satisfied
176,2020,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,2018-12-31,105,Somewhat clean,Neutral,Neutral
177,312,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,2018-12-31,182,Somewhat clean,Very safe,Very satisfied
178,2903,Friday,TURKISH AIRLINES,ISTANBUL,middle east,Hub     ,Gates 91-102,2018-12-31,195,Clean,Very safe,Very satisfied
179,2108,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,119,Somewhat clean,Very safe,Somewhat satsified
180,339,Wednesday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,2018-12-31,180,Average,Neutral,Neutral
181,2938,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,2018-12-31,135,Average,Neutral,Neutral
182,1396,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,2018-12-31,295,Somewhat clean,Very safe,Neutral
183,1843,Wednesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,2018-12-31,55,Average,Somewhat safe,Somewhat satsified
184,3038,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,362,Somewhat clean,Somewhat safe,Somewhat satsified
185,1482,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,2018-01-01,179,Somewhat clean,Very safe,Somewhat satsified
186,2670,Tuesday,SOUTHWEST,DENVER,West US,Hub     ,Gates 20-39,2018-12-31,260,Average,Very safe,Somewhat satsified
187,756,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,125,Clean,Very safe,Somewhat satsified
188,2128,Wednesday,FRONTIER,DENVER,West US,Hub     ,Gates 20-39,2018-12-31,243,Clean,Very safe,Somewhat satsified
189,1514,Wednesday,INTERJET,GUADALAJARA,Canada/Mexico,Medium     ,Gates 1-12,2018-12-31,105,Somewhat clean,Very safe,Somewhat satsified
190,2481,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,89,Average,Somewhat safe,Neutral
191,1150,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,2018-12-31,50,Clean,Very safe,Very satisfied
192,1105,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,105,Somewhat clean,Neutral,Somewhat satsified
193,2945,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,65,Somewhat clean,Somewhat safe,Somewhat satsified
194,261,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,115,Clean,Very safe,Somewhat satsified
